#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0082718	-	5	1099--1104	Journal of Experimental Biology	paper	8627145	-	198
FBrf0204341	10.1242/jeb.007575	2	224--233	Journal of Experimental Biology	review	18165250	-	211
FBrf0218937	10.1242/jeb.066969	15	2696--2702	Journal of Experimental Biology	paper	22786647	-	215
FBrf0218329	10.1242/jeb.066498	11	1783--1798	Journal of Experimental Biology	paper	22573757	-	215
FBrf0221344	10.1242/jeb.080200	9	1578--1586	Journal of Experimental Biology	paper	23348937	-	216
FBrf0201505	10.1242/jeb.003350	15	2649--2656	Journal of Experimental Biology	paper	17644679	-	210
FBrf0221012	10.1242/jeb.077404	7	1307--1316	Journal of Experimental Biology	paper	23239891	-	216
FBrf0187942	10.1242/jeb.01810	18	3483--3491	Journal of Experimental Biology	paper	16155221	-	208
FBrf0184114	10.1242/jeb.01425	Pt 3	549--560	Journal of Experimental Biology	paper	15671343	-	208
FBrf0131349	-	23	3575--3584	Journal of Experimental Biology	paper	11060218	-	203
FBrf0099897	-	24	3235--3243	Journal of Experimental Biology	paper	9364029	-	200
FBrf0100379	-	1	115--120	Journal of Experimental Biology	paper	9390942	-	201
FBrf0201782	-	5	II	Journal of Experimental Biology	review	-	-	210
FBrf0207756	10.1242/jeb.025379	9	1307--1323	Journal of Experimental Biology	paper	19376952	-	212
FBrf0237358	10.1242/jeb.165811	23	4502--4514	Journal of Experimental Biology	paper	28993465	-	220
FBrf0001493	-	-	186--195	Journal of Experimental Biology	paper	-	-	4
FBrf0012187	-	4	832--842	Journal of Experimental Biology	paper	-	-	35
FBrf0039831	-	-	231--239	Journal of Experimental Biology	paper	-	-	105
FBrf0021770	-	-	419--436	Journal of Experimental Biology	paper	5442286	-	52
FBrf0206760	10.1242/jeb.026112	3	401--412	Journal of Experimental Biology	review	19151215	-	212
FBrf0193792	10.1242/jeb.02583	23	4597--4606	Journal of Experimental Biology	paper	17114395	-	209
FBrf0233061	10.1242/jeb.132696	7	969--976	Journal of Experimental Biology	paper	26823104	-	219
FBrf0192010	-	17	I--II	Journal of Experimental Biology	editorial	-	-	209
FBrf0219014	10.1242/jeb.072082	16	2833--2840	Journal of Experimental Biology	paper	22837456	-	215
FBrf0224518	10.1242/jeb.097683	7	1193--1197	Journal of Experimental Biology	paper	24311811	-	217
FBrf0200927	10.1242/jeb.010389	24	4319--4334	Journal of Experimental Biology	paper	18055621	-	210
FBrf0083335	-	8	1647--1653	Journal of Experimental Biology	paper	7636442	-	198
FBrf0180450	10.1242/jeb.01189	Pt 20	3559--3567	Journal of Experimental Biology	paper	15339952	-	207
FBrf0235815	10.1242/jeb.146282	12	2218--2227	Journal of Experimental Biology	paper	28385799	-	220
FBrf0237359	10.1242/jeb.165308	23	4471--4478	Journal of Experimental Biology	paper	28982965	-	220
FBrf0010277	-	-	468--484	Journal of Experimental Biology	paper	-	-	32
FBrf0087227	-	4	854--878	Journal of Experimental Biology	paper	-	-	37
FBrf0110650	-	17	2339--2348	Journal of Experimental Biology	paper	10441085	-	202
FBrf0137001	-	9	1659--1666	Journal of Experimental Biology	paper	11398755	-	204
FBrf0220786	10.1242/jeb.074757	4	543--553	Journal of Experimental Biology	paper	23038734	-	216
FBrf0211128	10.1242/jeb.043026	14	2483--2493	Journal of Experimental Biology	paper	20581278	-	213
FBrf0222798	10.1242/jeb.085126	20	3790--3798	Journal of Experimental Biology	paper	23821714	-	216
FBrf0209117	10.1242/jeb.025221	20	3377--3386	Journal of Experimental Biology	paper	19801442	-	212
FBrf0239450	10.1242/jeb.166868	13	jeb166868	Journal of Experimental Biology	paper	29987053	-	221
FBrf0219355	10.1242/jeb.059956	10	1607--1613	Journal of Experimental Biology	review	22539727	-	215
FBrf0205322	10.1242/jeb.019422	13	2116--2122	Journal of Experimental Biology	paper	18552301	FBrf0215749	211
FBrf0238113	10.1242/jeb.166710	3	jeb166710	Journal of Experimental Biology	review	29439060	-	221
FBrf0220585	10.1242/jeb.078139	3	480--491	Journal of Experimental Biology	paper	23038731	-	216
FBrf0212660	10.1242/jeb.046912	2	179--190	Journal of Experimental Biology	review	21177939	-	214
FBrf0132384	-	2	315--323	Journal of Experimental Biology	paper	11136617	-	204
FBrf0241210	10.1242/jeb.190017	2	jeb190017	Journal of Experimental Biology	paper	30446539	-	222
FBrf0233347	10.1242/jeb.143750	17	2726--2732	Journal of Experimental Biology	paper	27353229	-	219
FBrf0151389	-	16	2413--2427	Journal of Experimental Biology	paper	12124366	-	205
FBrf0221047	10.1242/jeb.076166	7	1244--1254	Journal of Experimental Biology	paper	23239892	-	216
FBrf0215149	10.1242/jeb.022269	16	2705--2719	Journal of Experimental Biology	paper	19648415	-	212
FBrf0187945	-	7	I--II	Journal of Experimental Biology	review	-	-	208
FBrf0144977	-	1	55--70	Journal of Experimental Biology	paper	11818412	-	205
