#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0228613	10.1242/jcs.155929	3	499--515	Journal of Cell Science	paper	25413347	-	128
FBrf0145572	-	14	2561--2568	Journal of Cell Science	review	11683384	-	114
FBrf0217558	10.1242/jcs.089797	2	399--410	Journal of Cell Science	paper	22331351	-	125
FBrf0225356	10.1242/jcs.144519	12	2736--2748	Journal of Cell Science	paper	24762813	-	127
FBrf0092442	-	2	229--237	Journal of Cell Science	paper	9044053	-	110
FBrf0225482	10.1242/jcs.139329	13	2849--2861	Journal of Cell Science	paper	24816559	-	127
FBrf0241416	10.1242/jcs.222729	3	jcs222729	Journal of Cell Science	paper	30659116	-	132
FBrf0201065	10.1242/jcs.03485	19	3327--3335	Journal of Cell Science	review	17881494	-	120
FBrf0130273	-	21	3781--3794	Journal of Cell Science	paper	11034906	-	113
FBrf0238883	10.1242/jcs.210179	9	jcs210179	Journal of Cell Science	paper	29661849	-	131
FBrf0159036	10.1242/jcs.00298	7	1199--1207	Journal of Cell Science	paper	12615963	FBrf0159797	116
FBrf0192795	10.1242/jcs.03294	Pt 24	5047--5056	Journal of Cell Science	paper	17118962	-	119
FBrf0193325	10.1242/jcs.02950	15	3021--3023	Journal of Cell Science	review	16868029	-	119
FBrf0089768	-	7	1707--1715	Journal of Cell Science	paper	8832393	-	109
FBrf0200720	10.1242/jcs.014902	18	3200--3206	Journal of Cell Science	paper	17726059	-	120
FBrf0192160	10.1242/jcs.02937	12	2401--2404	Journal of Cell Science	review	16763193	-	119
FBrf0234948	10.1242/jcs.197459	5	950--962	Journal of Cell Science	paper	28104814	-	130
FBrf0084418	-	9	3137--3144	Journal of Cell Science	paper	8537453	-	108
FBrf0131056	-	16	2837--2844	Journal of Cell Science	paper	10910768	-	113
FBrf0135996	-	3	463--474	Journal of Cell Science	review	11171316	-	114
FBrf0221292	-	24	-	Journal of Cell Science	supplementary material	-	FBrf0221087	125
FBrf0236071	10.1242/jcs.200808	14	2344--2358	Journal of Cell Science	paper	28576972	-	130
FBrf0056463	-	2	349--361	Journal of Cell Science	paper	1629249	-	101
FBrf0056456	-	4	1013--1020	Journal of Cell Science	paper	1487485	-	103
FBrf0230587	10.1242/jcs.179184	1	178--190	Journal of Cell Science	paper	26598558	-	129
FBrf0180382	10.1242/jcs.01320	19	4527--4536	Journal of Cell Science	paper	15316068	-	117
FBrf0213735	10.1242/jcs.006387	12	1955--1963	Journal of Cell Science	review	21625006	-	124
FBrf0206245	10.1242/jcs.038497	22	3834--3841	Journal of Cell Science	paper	18957509	FBrf0228166	121
FBrf0192864	10.1242/jcs.02898	Pt 6	979--987	Journal of Cell Science	review	16525119	-	119
FBrf0141600	-	20	3655--3662	Journal of Cell Science	paper	11707517	-	114
FBrf0219470	10.1242/jcs.064931	9	1414--1426	Journal of Cell Science	paper	20392737	-	123
FBrf0179402	10.1242/jcs.01123	13	2777--2789	Journal of Cell Science	paper	15169836	-	117
FBrf0179002	-	-	799--800	Journal of Cell Science	erratum	-	FBrf0167780	117
FBrf0086566	-	3	591--607	Journal of Cell Science	paper	8907705	-	109
FBrf0224516	10.1242/jcs.139485	7	1511--1522	Journal of Cell Science	paper	24496448	-	127
FBrf0126821	-	7	1255--1265	Journal of Cell Science	paper	10704376	-	113
FBrf0155873	10.1242/jcs.00297	5	887--896	Journal of Cell Science	paper	12571286	-	116
FBrf0219315	10.1242/jcs.101386	13	3185--3194	Journal of Cell Science	paper	22467865	-	125
FBrf0076811	-	4	849--858	Journal of Cell Science	paper	8056841	-	107
FBrf0213200	10.1242/jcs.079798	6	933--939	Journal of Cell Science	paper	21325028	-	124
FBrf0194324	10.1242/jcs.03088	Pt 16	3399--3412	Journal of Cell Science	paper	16882688	-	119
FBrf0167781	10.1242/jcs.00922	5	771--782	Journal of Cell Science	paper	14734656	-	117
FBrf0233344	10.1242/jcs.188540	17	3274--3281	Journal of Cell Science	paper	27411367	-	129
FBrf0194970	10.1242/jcs.03341	3	502--511	Journal of Cell Science	paper	17227793	-	120
FBrf0195182	10.1242/jcs.03210	Pt 21	4402--4408	Journal of Cell Science	paper	17032738	-	119
FBrf0052264	-	1	101--107	Journal of Cell Science	paper	1979558	-	97
FBrf0056472	-	4	847--856	Journal of Cell Science	paper	1429896	-	102
FBrf0239410	10.1242/jcs.023648	15	2587--2596	Journal of Cell Science	review	19625503	-	122
FBrf0184072	10.1242/jcs.01680	Pt 4	665--672	Journal of Cell Science	review	15701923	-	118
FBrf0056461	-	2	299--305	Journal of Cell Science	paper	1400634	-	102
FBrf0110930	-	17	2843--2852	Journal of Cell Science	paper	10444379	-	112
FBrf0231587	10.1242/jcs.183426	7	1416--1428	Journal of Cell Science	paper	26906417	-	129
FBrf0217033	10.1242/jcs.086694	23	4001--4013	Journal of Cell Science	paper	22159415	-	124
FBrf0187844	10.1242/jcs.02309	9	1833--1842	Journal of Cell Science	paper	15860729	-	118
FBrf0111518	-	19	3385--3398	Journal of Cell Science	paper	10504343	-	112
FBrf0200503	10.1242/jcs.004663	9	1689--1700	Journal of Cell Science	paper	17452629	-	120
FBrf0072747	-	3	709--718	Journal of Cell Science	paper	8006084	-	107
FBrf0192653	10.1242/jcs.03420	7	1209--1215	Journal of Cell Science	paper	17356067	-	120
FBrf0202163	10.1242/jcs.010850	18	3289--3298	Journal of Cell Science	paper	17878238	-	120
FBrf0219921	10.1242/jcs.105809	18	4214--4218	Journal of Cell Science	paper	22718353	-	125
FBrf0234488	10.1242/jcs.196741	2	453--465	Journal of Cell Science	paper	27909242	-	130
FBrf0213331	10.1242/jcs.081422	8	1316--1327	Journal of Cell Science	paper	21444757	-	124
FBrf0127486	-	10	1759--1770	Journal of Cell Science	paper	10769207	-	113
FBrf0241207	10.1242/jcs.214072	2	jcs214072	Journal of Cell Science	paper	30559249	-	132
FBrf0209472	10.1242/jcs.049155	24	4505--4515	Journal of Cell Science	paper	19934223	-	122
FBrf0050223	-	1	29--36	Journal of Cell Science	paper	2777913	-	92
FBrf0033463	-	-	185--197	Journal of Cell Science	paper	457805	-	36
FBrf0074990	-	7	1817--1824	Journal of Cell Science	paper	7983150	-	107
FBrf0229501	10.1242/jcs.169896	17	3239--3249	Journal of Cell Science	paper	26208635	-	128
FBrf0227800	10.1242/jcs.165712	6	1204--1216	Journal of Cell Science	paper	25616898	FBrf0229221	128
FBrf0139721	-	19	3445--3454	Journal of Cell Science	paper	11682604	-	114
FBrf0134708	-	1	5--8	Journal of Cell Science	book review	-	-	114
FBrf0217659	10.1242/jcs.092445	3	576--583	Journal of Cell Science	paper	22389397	-	125
FBrf0135255	-	19	3353--3354	Journal of Cell Science	review	10984423	-	113
FBrf0240135	10.1242/jcs.220251	18	jcs220251	Journal of Cell Science	paper	30158176	-	131
FBrf0223420	10.1242/jcs.136523	23	5441--5452	Journal of Cell Science	paper	24105264	-	126
FBrf0187837	10.1242/jcs.02502	16	3663--3673	Journal of Cell Science	paper	16046475	-	118
FBrf0201539	10.1242/jcs.007112	1	11--18	Journal of Cell Science	review	18096687	-	121
FBrf0190960	10.1242/jcs.02839	7	1361--1370	Journal of Cell Science	paper	16537648	-	119
FBrf0221129	10.1242/jcs.114785	1	53--59	Journal of Cell Science	paper	23178937	FBrf0224546	126
FBrf0202323	10.1242/jcs.004770	17	3099--3110	Journal of Cell Science	paper	17698923	-	120
FBrf0068733	-	4	1035--1044	Journal of Cell Science	paper	8126091	-	106
FBrf0187832	10.1242/jcs.02312	9	1851--1859	Journal of Cell Science	paper	15827086	-	118
FBrf0145574	-	15	2713--2722	Journal of Cell Science	review	11683406	-	114
FBrf0056458	-	1	169--184	Journal of Cell Science	paper	1380004	-	102
FBrf0226841	10.1242/jcs.152603	19	4246--4259	Journal of Cell Science	paper	25074811	-	127
FBrf0156170	-	8	1675--1687	Journal of Cell Science	paper	11950886	-	115
FBrf0207053	10.1242/jcs.035014	19	3167--3176	Journal of Cell Science	paper	18765565	-	121
FBrf0112029	-	21	3757--3768	Journal of Cell Science	paper	10523511	-	112
FBrf0136002	-	10	1821--1827	Journal of Cell Science	review	11329368	-	114
FBrf0228614	10.1242/jcs.170316	11	2191--2201	Journal of Cell Science	paper	25908857	-	128
FBrf0048434	-	2	247--263	Journal of Cell Science	paper	3149954	-	90
FBrf0078142	-	4	1443--1454	Journal of Cell Science	paper	7615665	-	108
FBrf0221087	10.1242/jcs.113100	24	5944--5949	Journal of Cell Science	paper	23038775	FBrf0221292	125
FBrf0192391	10.1242/jcs.03039	15	3238--3248	Journal of Cell Science	paper	16847053	-	119
FBrf0054416	-	2	233--243	Journal of Cell Science	paper	1905300	-	98
FBrf0231154	10.1242/jcs.180406	5	921--929	Journal of Cell Science	paper	26787744	-	129
FBrf0190956	10.1242/jcs.02597	22	5157--5159	Journal of Cell Science	review	16280548	-	118
FBrf0041227	-	-	87--119	Journal of Cell Science	paper	6430925	-	67
FBrf0135999	-	7	1253--1263	Journal of Cell Science	review	11256992	-	114
FBrf0200911	10.1242/jcs.000695	12	2066--2077	Journal of Cell Science	paper	17535853	-	120
